Tanggal,ID_Item,ID_Customer,Harga,Jumlah_Sales_Order,Subtotal_Sales_Order,Jumlah_Retur,Subtotal_Retur,Jumlah_Invoice,Subtotal_Invoice
2021-01-04,K001,Cust05,250000,10,2500000,0,0,10,2500000
2021-01-05,C002,Cust20,120000,31,3720000,0,0,31,3720000
2021-01-05,K001,Cust01,250000,5,1250000,0,0,5,1250000
2021-01-05,K002,Cust01,180000,8,1440000,0,0,8,1440000
2021-01-06,K002,Cust39,180000,24,4320000,0,0,24,4320000
2021-01-07,K001,Cust40,250000,20,5000000,0,0,20,5000000
2021-01-13,C001,Cust40,150000,27,4050000,0,0,27,4050000
2021-01-19,C002,Cust20,120000,22,2640000,0,0,22,2640000
2021-01-20,C002,Cust19,120000,21,2520000,0,0,21,2520000
2021-01-24,K001,Cust18,250000,49,12250000,0,0,49,12250000
2021-01-24,C001,Cust33,150000,24,3600000,0,0,24,3600000
2021-01-24,G002,Cust06,110000,7,770000,0,0,7,770000
2021-01-27,G002,Cust06,110000,5,550000,0,0,5,550000
2021-01-27,C002,Cust01,120000,14,1680000,0,0,14,1680000
2021-01-27,C001,Cust16,150000,32,4800000,0,0,32,4800000
2021-02-01,G002,Cust12,110000,48,5280000,0,0,48,5280000
2021-02-02,C001,Cust07,150000,7,1050000,0,0,7,1050000
2021-02-03,G001,Cust28,85000,27,2295000,0,0,27,2295000
2021-02-04,C001,Cust01,150000,7,1050000,0,0,7,1050000
2021-02-04,C002,Cust32,120000,10,1200000,0,0,10,1200000
2021-02-06,G001,Cust20,85000,52,4420000,0,0,52,4420000
2021-02-08,G002,Cust40,110000,25,2750000,0,0,25,2750000
2021-02-09,C002,Cust21,120000,30,3600000,0,0,30,3600000
2021-02-10,C001,Cust12,150000,45,6750000,0,0,45,6750000
2021-02-10,G001,Cust34,85000,10,850000,0,0,10,850000
2021-02-10,G001,Cust04,85000,11,935000,0,0,11,935000
2021-02-13,K002,Cust12,180000,49,8820000,0,0,49,8820000
2021-02-16,G001,Cust38,85000,26,2210000,0,0,26,2210000
2021-02-16,K001,Cust21,250000,31,7750000,0,0,31,7750000
2021-02-16,C002,Cust24,120000,22,2640000,0,0,22,2640000
2021-02-17,C001,Cust25,150000,48,7200000,23,3450000,25,3750000
2021-02-18,C002,Cust36,120000,17,2040000,0,0,17,2040000
2021-02-18,K001,Cust11,250000,52,13000000,0,0,52,13000000
2021-02-18,G001,Cust21,85000,25,2125000,0,0,25,2125000
2021-02-18,C001,Cust31,150000,17,2550000,0,0,17,2550000
2021-02-21,C002,Cust05,120000,13,1560000,0,0,13,1560000
2021-02-22,C002,Cust23,120000,39,4680000,0,0,39,4680000
2021-02-22,G002,Cust35,110000,12,1320000,0,0,12,1320000
2021-02-23,C001,Cust33,150000,25,3750000,0,0,25,3750000
2021-02-24,C001,Cust14,150000,49,7350000,0,0,49,7350000
2021-02-24,C002,Cust40,120000,12,1440000,0,0,12,1440000
2021-02-24,K001,Cust07,250000,14,3500000,0,0,14,3500000
2021-02-24,K002,Cust25,180000,30,5400000,0,0,30,5400000
2021-02-25,C002,Cust30,120000,17,2040000,0,0,17,2040000
2021-02-25,K002,Cust38,180000,29,5220000,0,0,29,5220000
2021-02-25,C002,Cust32,120000,19,2280000,0,0,19,2280000
2021-02-25,G001,Cust15,85000,46,3910000,0,0,46,3910000
2021-02-26,K001,Cust11,250000,22,5500000,0,0,22,5500000
2021-02-28,G002,Cust11,110000,37,4070000,0,0,37,4070000
2021-02-28,C001,Cust01,150000,50,7500000,36,5400000,14,2100000
2021-02-28,C001,Cust24,150000,46,6900000,0,0,46,6900000
2021-03-03,G001,Cust40,85000,26,2210000,0,0,26,2210000
2021-03-04,G002,Cust28,110000,29,3190000,0,0,29,3190000
2021-03-06,G002,Cust08,110000,14,1540000,0,0,14,1540000
2021-03-09,C001,Cust07,150000,14,2100000,0,0,14,2100000
2021-03-11,C001,Cust18,150000,22,3300000,0,0,22,3300000
2021-03-13,K001,Cust24,250000,81,20250000,29,7250000,52,13000000
2021-03-15,G001,Cust16,85000,22,1870000,0,0,22,1870000
2021-03-15,C001,Cust36,150000,29,4350000,0,0,29,4350000
2021-03-16,G001,Cust35,85000,29,2465000,2,170000,27,2295000
2021-03-16,G001,Cust24,85000,53,4505000,0,0,53,4505000
2021-03-23,K002,Cust12,180000,46,8280000,0,0,46,8280000
2021-03-23,K001,Cust12,250000,21,5250000,0,0,21,5250000
2021-03-28,K002,Cust35,180000,13,2340000,0,0,13,2340000
2021-04-01,G002,Cust24,110000,21,2310000,0,0,21,2310000
2021-04-02,K002,Cust21,180000,43,7740000,15,2700000,28,5040000
2021-04-02,G002,Cust08,110000,5,550000,0,0,5,550000
2021-04-02,G002,Cust11,110000,51,5610000,0,0,51,5610000
2021-04-02,G001,Cust09,85000,7,595000,0,0,7,595000
2021-04-02,K002,Cust02,180000,16,2880000,0,0,16,2880000
2021-04-03,C001,Cust30,150000,24,3600000,0,0,24,3600000
2021-04-04,C002,Cust13,120000,35,4200000,0,0,35,4200000
2021-04-05,C001,Cust32,150000,25,3750000,0,0,25,3750000
2021-04-05,K001,Cust39,250000,22,5500000,0,0,22,5500000
2021-04-07,G001,Cust35,85000,16,1360000,0,0,16,1360000
2021-04-08,G002,Cust40,110000,14,1540000,0,0,14,1540000
2021-04-09,K002,Cust04,180000,11,1980000,0,0,11,1980000
2021-04-09,G002,Cust29,110000,28,3080000,0,0,28,3080000
2021-04-11,G001,Cust29,85000,27,2295000,0,0,27,2295000
2021-04-14,G001,Cust02,85000,15,1275000,7,595000,8,680000
2021-04-15,G002,Cust36,110000,13,1430000,0,0,13,1430000
2021-04-16,G001,Cust02,85000,8,680000,0,0,8,680000
2021-04-16,K002,Cust07,180000,12,2160000,0,0,12,2160000
