Bulan,Tahun,Target
Januari,2021,60000000.00
Februari,2021,150000000.00
Maret,2021,70000000.00
April,2021,100000000.00
Mei,2021,50000000.00
Juni,2021,150000000.00
Juli,2021,85000000.00
Agustus,2021,90000000.00
September,2021,145000000.00
Oktober,2021,60000000.00
November,2021,140000000.00
Desember,2021,65000000.00
Januari,2022,180000000.00
Februari,2022,210000000.00
Maret,2022,300000000.00
April,2022,250000000.00
Mei,2022,180000000.00
Juni,2022,90000000.00
Juli,2022,135000000.00
Agustus,2022,110000000.00
September,2022,115000000.00
Oktober,2022,300000000.00
November,2022,210000000.00
Desember,2022,240000000.00
Januari,2023,300000000.00
Februari,2023,420000000.00
Maret,2023,250000000.00
April,2023,500000000.00
Mei,2023,120000000.00
Juni,2023,350000000.00
Juli,2023,220000000.00
Agustus,2023,480000000.00
September,2023,180000000.00
Oktober,2023,200000000.00
November,2023,150000000.00
Desember,2023,250000000.00
Januari,2024,550000000.00
Februari,2024,500000000.00
Maret,2024,250000000.00
April,2024,375000000.00
Mei,2024,325000000.00
Juni,2024,350000000.00
Juli,2024,330000000.00
Agustus,2024,340000000.00
September,2024,300000000.00
Oktober,2024,300000000.00
November,2024,350000000.00
Desember,2024,275000000.00
Januari,2025,550000000.00
Februari,2025,300000000.00
Maret,2025,450000000.00
April,2025,325000000.00
Mei,2025,475000000.00
Juni,2025,750000000.00
Juli,2025,350000000.00
Agustus,2025,475000000.00
September,2025,300000000.00
Oktober,2025,225000000.00
November,2025,300000000.00
Desember,2025,800000000.00
